id_venta,producto,cliente,sucursal,fecha,cantidad,precio
49,Producto_74,Cliente_1380,Sucursal_14,2025-11-29,1,3611
50,Producto_88,Cliente_1085,Sucursal_8,2024-10-11,2,6151
51,Producto_95,Cliente_820,Sucursal_3,2024-11-23,3,13720
52,Producto_52,Cliente_575,Sucursal_14,2023-09-08,1,10839
53,Producto_8,Cliente_802,Sucursal_12,2023-06-02,1,419
54,Producto_13,Cliente_1073,Sucursal_15,2025-03-13,2,1485
55,Producto_66,Cliente_653,Sucursal_13,2024-03-21,3,8681
56,Producto_84,Cliente_1028,Sucursal_4,2024-12-30,5,508
57,Producto_47,Cliente_114,Sucursal_1,2023-12-04,3,669
58,Producto_42,Cliente_714,Sucursal_5,2023-03-03,2,1181
59,Producto_4,Cliente_1402,Sucursal_4,2024-06-23,2,5537
60,Producto_50,Cliente_1634,Sucursal_9,2025-05-12,1,1108
61,Producto_8,Cliente_684,Sucursal_4,2023-06-24,2,1407
62,Producto_68,Cliente_687,Sucursal_9,2025-09-20,1,1400
63,Producto_70,Cliente_1721,Sucursal_3,2023-06-12,4,12386
64,Producto_56,Cliente_426,Sucursal_12,2023-07-04,2,2018
65,Producto_23,Cliente_992,Sucursal_9,2024-09-24,4,1063
66,Producto_45,Cliente_239,Sucursal_7,2024-04-27,4,383
67,Producto_19,Cliente_1040,Sucursal_4,2025-08-18,4,726
68,Producto_71,Cliente_441,Sucursal_14,2023-01-13,1,1277
69,Producto_88,Cliente_1580,Sucursal_2,2024-01-23,4,9647
70,Producto_65,Cliente_1919,Sucursal_5,2023-06-15,3,5770
71,Producto_92,Cliente_945,Sucursal_4,2025-10-20,1,6296
72,Producto_62,Cliente_1675,Sucursal_12,2024-05-28,1,4372
73,Producto_70,Cliente_1590,Sucursal_14,2024-09-07,4,4128
74,Producto_47,Cliente_678,Sucursal_7,2025-02-23,2,1208
75,Producto_29,Cliente_1228,Sucursal_5,2025-10-02,3,1709
76,Producto_65,Cliente_1786,Sucursal_1,2024-07-11,2,4351
77,Producto_58,Cliente_1131,Sucursal_11,2025-04-29,3,10953
78,Producto_4,Cliente_1957,Sucursal_13,2023-08-08,3,2865
79,Producto_97,Cliente_172,Sucursal_13,2025-07-26,1,7792
80,Producto_62,Cliente_948,Sucursal_4,2024-08-07,3,12700
81,Producto_51,Cliente_63,Sucursal_13,2024-06-18,1,1064
82,Producto_81,Cliente_1045,Sucursal_6,2023-03-06,4,2620
83,Producto_75,Cliente_169,Sucursal_1,2024-08-19,1,957
84,Producto_54,Cliente_18,Sucursal_2,2025-06-25,5,1555
85,Producto_6,Cliente_205,Sucursal_8,2023-11-05,4,10947
86,Producto_80,Cliente_1459,Sucursal_8,2024-01-14,1,12521
87,Producto_21,Cliente_296,Sucursal_8,2023-05-26,5,2968
88,Producto_9,Cliente_789,Sucursal_2,2024-12-29,4,683
89,Producto_82,Cliente_1537,Sucursal_7,2025-10-13,2,539
90,Producto_71,Cliente_46,Sucursal_12,2023-01-27,4,1726
91,Producto_66,Cliente_46,Sucursal_15,2024-06-27,2,3819
92,Producto_28,Cliente_1574,Sucursal_4,2024-11-25,3,13419
93,Producto_17,Cliente_1752,Sucursal_6,2023-12-25,5,4589
94,Producto_83,Cliente_665,Sucursal_8,2023-04-07,4,2667
95,Producto_14,Cliente_1063,Sucursal_6,2024-12-26,1,12152
96,Producto_20,Cliente_1475,Sucursal_2,2024-08-25,2,2413
97,Producto_61,Cliente_1957,Sucursal_1,2024-05-16,1,6767
98,Producto_17,Cliente_33,Sucursal_3,2023-11-04,3,3111
99,Producto_31,Cliente_1918,Sucursal_9,2025-05-06,3,2379
100,Producto_74,Cliente_1048,Sucursal_8,2023-10-07,5,11063
101,Producto_96,Cliente_1243,Sucursal_12,2023-10-02,3,1832
102,Producto_16,Cliente_1119,Sucursal_3,2024-03-28,5,591
103,Producto_17,Cliente_1674,Sucursal_3,2024-11-28,5,3475
104,Producto_10,Cliente_1815,Sucursal_12,2023-04-07,4,1482
105,Producto_49,Cliente_1983,Sucursal_10,2023-10-29,5,883
106,Producto_64,Cliente_1419,Sucursal_14,2025-01-19,1,6214
107,Producto_92,Cliente_538,Sucursal_4,2023-09-13,5,9674
108,Producto_43,Cliente_1947,Sucursal_6,2025-12-04,5,13145
109,Producto_54,Cliente_356,Sucursal_12,2023-06-01,4,1558
110,Producto_25,Cliente_1026,Sucursal_6,2024-05-10,4,10877
111,Producto_34,Cliente_1507,Sucursal_4,2025-05-07,3,1844
112,Producto_44,Cliente_1215,Sucursal_5,2023-09-26,3,-100
113,Producto_63,Cliente_206,Sucursal_5,2023-02-15,5,2465
114,Producto_10,Cliente_529,Sucursal_10,2025-01-23,3,810
115,Producto_40,Cliente_612,Sucursal_2,2023-05-26,1,453
116,Producto_87,Cliente_90,Sucursal_6,2024-11-06,2,10208
117,Producto_60,Cliente_183,Sucursal_1,2025-08-05,3,7068
118,Producto_11,Cliente_1714,Sucursal_10,2024-03-07,5,1396
119,Producto_24,Cliente_11,Sucursal_2,2025-07-19,3,1944
120,Producto_11,Cliente_1860,Sucursal_5,2023-09-02,1,926
121,Producto_42,Cliente_1271,Sucursal_2,2023-12-25,2,1643
122,Producto_8,Cliente_1739,Sucursal_4,2025-06-20,2,743
123,Producto_14,Cliente_1952,Sucursal_5,2025-10-23,1,8965
124,Producto_45,Cliente_1092,Sucursal_4,2023-08-01,4,692
125,Producto_26,Cliente_936,Sucursal_15,2025-12-22,3,16220
126,Producto_81,Cliente_1203,Sucursal_14,2023-06-04,2,2848
127,Producto_32,Cliente_620,Sucursal_6,2024-03-28,2,3900
128,Producto_76,Cliente_783,Sucursal_6,2024-08-08,3,380
129,Producto_30,Cliente_749,Sucursal_1,2023-03-28,5,9873
130,Producto_32,Cliente_1168,Sucursal_6,2023-01-15,5,1853
131,Producto_74,Cliente_930,Sucursal_12,2024-10-25,1,4947
132,Producto_56,Cliente_501,Sucursal_3,2023-10-27,4,718
133,Producto_97,Cliente_1348,Sucursal_7,2024-05-22,2,13878
134,Producto_11,Cliente_1905,Sucursal_7,2023-06-18,3,820
135,Producto_43,Cliente_1425,Sucursal_5,2023-05-01,2,17105
136,Producto_20,Cliente_790,Sucursal_10,2024-12-29,5,3387
137,Producto_40,Cliente_1127,Sucursal_8,2025-11-10,1,804
138,Producto_92,Cliente_953,Sucursal_6,2025-10-19,4,3453
139,Producto_17,Cliente_1062,Sucursal_10,2023-01-17,1,2147
140,Producto_48,Cliente_670,Sucursal_3,2025-03-01,1,564
141,Producto_89,Cliente_1397,Sucursal_4,2024-10-30,0,3042
142,Producto_13,Cliente_141,Sucursal_13,2025-08-14,4,463
143,Producto_70,Cliente_898,Sucursal_7,2024-06-08,1,11386
144,Producto_2,Cliente_18,Sucursal_5,2024-04-15,5,296
145,Producto_89,Cliente_1105,Sucursal_14,2024-11-05,4,3381
146,Producto_23,Cliente_1766,Sucursal_4,2024-09-28,4,816
147,Producto_82,Cliente_759,Sucursal_12,2023-09-17,5,1247
148,Producto_93,Cliente_1411,Sucursal_4,2024-08-22,2,3008
149,Producto_22,Cliente_988,Sucursal_10,2023-07-14,4,4606
150,Producto_98,Cliente_146,Sucursal_3,2024-04-21,5,2270
151,Producto_62,Cliente_728,Sucursal_4,2025-10-01,4,9440
152,Producto_59,Cliente_1597,Sucursal_1,2024-09-14,1,13552
153,Producto_51,Cliente_1835,Sucursal_5,2023-07-14,1,935
154,Producto_27,Cliente_1907,Sucursal_9,2025-04-04,1,1911
155,Producto_12,Cliente_876,Sucursal_7,2023-05-14,1,8048
156,Producto_90,Cliente_930,Sucursal_14,2024-12-27,4,653
157,Producto_28,Cliente_1823,Sucursal_1,2023-02-10,3,7214
158,Producto_74,Cliente_566,Sucursal_4,2023-02-06,4,4656
159,Producto_38,Cliente_915,Sucursal_11,2023-05-28,5,7855
160,Producto_91,Cliente_179,Sucursal_5,2024-06-03,4,3030
161,Producto_19,Cliente_1244,Sucursal_8,2025-01-21,3,1319
162,Producto_63,Cliente_1067,Sucursal_8,2024-08-31,1,6183
163,Producto_44,Cliente_427,Sucursal_12,2025-08-10,3,954
164,Producto_28,Cliente_1225,Sucursal_10,2025-05-31,5,8961
165,Producto_51,Cliente_936,Sucursal_1,2023-06-18,3,1314
166,Producto_3,Cliente_462,Sucursal_7,2025-02-15,4,10965
167,Producto_11,Cliente_1985,Sucursal_7,2025-04-06,4,1958
168,Producto_70,Cliente_795,Sucursal_12,2024-02-29,3,6880
169,Producto_60,Cliente_11,Sucursal_8,2023-07-11,2,13543
170,Producto_77,Cliente_1745,Sucursal_10,2024-07-30,2,4874
171,Producto_27,Cliente_1829,Sucursal_10,2023-10-17,2,3040
172,Producto_18,Cliente_823,Sucursal_13,2023-07-15,5,2590
173,Producto_41,Cliente_142,Sucursal_12,2023-09-08,5,551
174,Producto_19,Cliente_348,Sucursal_5,2024-05-03,1,-100
175,Producto_82,Cliente_1521,Sucursal_10,2025-06-08,5,371
176,Producto_29,Cliente_1243,Sucursal_7,2024-01-12,1,4720
177,Producto_79,Cliente_1622,Sucursal_6,2023-10-22,1,12107
178,Producto_94,Cliente_1001,Sucursal_14,2024-04-16,2,1437
179,Producto_24,Cliente_692,Sucursal_7,2023-09-06,5,2616
180,Producto_88,Cliente_1837,Sucursal_9,2025-04-26,4,7011
181,Producto_5,Cliente_1893,Sucursal_15,2024-04-25,3,2582
182,Producto_89,Cliente_1234,Sucursal_7,2025-04-30,5,6355
183,Producto_32,Cliente_179,Sucursal_11,2025-11-20,1,1595
184,Producto_15,Cliente_583,Sucursal_4,2024-08-10,4,2292
185,Producto_1,Cliente_634,Sucursal_15,2025-04-27,2,8113
186,Producto_25,Cliente_1427,Sucursal_9,2025-10-02,5,16513
187,Producto_63,Cliente_302,Sucursal_6,2024-01-06,1,6430
188,Producto_3,Cliente_1970,Sucursal_15,2024-04-18,1,11933
189,Producto_92,Cliente_1354,Sucursal_15,2023-10-24,3,12385
190,Producto_27,Cliente_1906,Sucursal_14,2023-03-01,5,4275
191,Producto_10,Cliente_700,Sucursal_7,2024-05-29,5,1465
192,Producto_70,Cliente_446,Sucursal_12,2024-10-07,5,6945
193,Producto_64,Cliente_1595,Sucursal_10,2024-05-11,4,11279
194,Producto_44,Cliente_1208,Sucursal_5,2024-11-09,3,410
195,Producto_37,Cliente_192,Sucursal_10,2025-08-09,2,456
196,Producto_73,Cliente_1738,Sucursal_6,2024-03-01,5,4251
197,Producto_83,Cliente_1093,Sucursal_11,2025-01-20,1,726
198,Producto_2,Cliente_306,Sucursal_9,2025-06-20,4,882
199,Producto_99,Cliente_650,Sucursal_2,2023-08-31,3,1825
200,Producto_98,Cliente_1693,Sucursal_13,2024-11-10,1,5831
201,Producto_63,Cliente_290,Sucursal_3,2025-12-05,3,6817
202,Producto_84,Cliente_789,Sucursal_3,2025-10-12,4,787
203,Producto_96,Cliente_61,Sucursal_3,2025-03-22,1,1169
204,Producto_19,Cliente_1866,Sucursal_7,2025-08-23,1,319
205,Producto_50,Cliente_740,Sucursal_14,2023-01-12,3,719
206,Producto_3,Cliente_857,Sucursal_8,2025-01-25,2,18002
207,Producto_79,Cliente_780,Sucursal_9,2025-04-01,2,13138
208,Producto_34,Cliente_274,Sucursal_13,2024-08-14,4,1967
209,Producto_59,Cliente_140,Sucursal_15,2024-07-06,3,7536
210,Producto_54,Cliente_575,Sucursal_13,2023-08-24,3,1698
211,Producto_41,Cliente_885,Sucursal_14,2025-12-21,1,1203
212,Producto_45,Cliente_227,Sucursal_5,2025-02-14,2,839
213,Producto_51,Cliente_270,Sucursal_4,2024-01-14,5,950
214,Producto_78,Cliente_131,Sucursal_8,2024-01-12,5,617
215,Producto_67,Cliente_1696,Sucursal_1,2023-02-06,1,19840
216,Producto_28,Cliente_1732,Sucursal_3,2024-09-14,4,3756
217,Producto_49,Cliente_1246,Sucursal_5,2024-02-18,1,1588
218,Producto_37,Cliente_1117,Sucursal_11,2023-05-20,5,576
219,Producto_55,Cliente_1802,Sucursal_5,2024-06-12,5,5135
220,Producto_62,Cliente_501,Sucursal_14,2025-10-13,2,8044
221,Producto_15,Cliente_1992,Sucursal_7,2024-03-11,3,538
222,Producto_81,Cliente_309,Sucursal_15,2024-09-02,1,6033
223,Producto_72,Cliente_1794,Sucursal_7,2023-09-26,3,3369
224,Producto_90,Cliente_1574,Sucursal_3,2023-03-08,3,1204
225,Producto_8,Cliente_812,Sucursal_12,2025-02-10,5,288
226,Producto_20,Cliente_136,Sucursal_15,2024-02-08,1,502
227,Producto_46,Cliente_129,Sucursal_6,2025-05-01,2,2523
228,Producto_40,Cliente_688,Sucursal_12,2025-10-08,3,2496
229,Producto_29,Cliente_1365,Sucursal_2,2023-10-26,5,1674
230,Producto_2,Cliente_1080,Sucursal_12,2024-10-16,4,1088
231,Producto_47,Cliente_1300,Sucursal_8,2025-05-21,4,165
232,Producto_100,Cliente_1701,Sucursal_2,2024-03-31,4,15093
233,Producto_90,Cliente_1187,Sucursal_13,2025-01-23,2,831
234,Producto_4,Cliente_211,Sucursal_12,2023-09-06,1,2642
235,Producto_7,Cliente_1118,Sucursal_3,2024-04-07,2,981
236,Producto_74,Cliente_898,Sucursal_1,2024-10-15,5,4908
237,Producto_20,Cliente_1545,Sucursal_12,2025-01-21,2,4330
238,Producto_87,Cliente_1908,Sucursal_12,2025-01-09,4,14930
239,Producto_35,Cliente_1755,Sucursal_11,2025-07-03,3,2412
240,Producto_51,Cliente_674,Sucursal_9,2025-02-09,3,1775
241,Producto_61,Cliente_1890,Sucursal_12,2023-07-27,1,12489
242,Producto_57,Cliente_1768,Sucursal_4,2025-05-04,4,729
243,Producto_18,Cliente_445,Sucursal_7,2023-03-26,2,1768
244,Producto_43,Cliente_1985,Sucursal_15,2023-01-15,1,7851
245,Producto_79,Cliente_232,Sucursal_9,2024-09-04,1,13827
246,Producto_58,Cliente_1317,Sucursal_4,2024-09-07,2,6291
247,Producto_63,Cliente_1739,Sucursal_13,2023-09-02,2,6597
248,Producto_15,Cliente_399,Sucursal_12,2024-06-16,3,1861
249,Producto_85,Cliente_607,Sucursal_14,2024-11-10,3,609
250,Producto_59,Cliente_903,Sucursal_1,2025-05-12,1,16570
251,Producto_30,Cliente_259,Sucursal_9,2023-08-24,4,19854
252,Producto_46,Cliente_395,Sucursal_8,2025-06-15,2,2985
253,Producto_44,Cliente_1584,Sucursal_12,2025-09-02,2,380
254,Producto_71,Cliente_86,Sucursal_1,2025-01-02,4,4701
255,Producto_3,,Sucursal_15,2023-01-09,4,7611
256,Producto_87,Cliente_1641,Sucursal_4,2025-01-16,4,6304
257,Producto_23,Cliente_972,Sucursal_10,2023-02-14,4,1074
258,Producto_89,Cliente_541,Sucursal_14,2024-03-04,1,7452
259,Producto_78,Cliente_1827,Sucursal_1,2025-05-26,3,4192
260,Producto_24,Cliente_1829,Sucursal_5,2024-03-15,5,1585
261,Producto_36,Cliente_1340,Sucursal_6,2024-12-23,4,2726
262,Producto_13,Cliente_1170,Sucursal_7,2025-10-26,5,1236
263,Producto_86,Cliente_833,Sucursal_11,2025-04-28,2,16085
264,Producto_28,Cliente_1592,Sucursal_9,2025-04-23,0,12101
265,Producto_7,Cliente_339,Sucursal_12,2024-10-24,5,433
266,Producto_18,Cliente_1948,Sucursal_10,2025-11-13,4,847
267,Producto_97,Cliente_1043,Sucursal_14,2024-01-18,2,16451
268,Producto_78,Cliente_523,Sucursal_8,2023-04-08,1,718
269,Producto_40,Cliente_802,Sucursal_5,2024-10-18,5,1098
270,Producto_7,Cliente_769,Sucursal_13,2023-01-24,3,1117
271,Producto_55,Cliente_958,Sucursal_13,2023-08-21,4,8558
272,Producto_36,Cliente_1279,Sucursal_14,2025-01-11,4,1580
273,Producto_10,Cliente_1487,Sucursal_7,2025-12-18,3,406
274,Producto_84,Cliente_1192,Sucursal_12,2025-12-02,4,852
275,Producto_11,Cliente_509,Sucursal_1,2024-03-03,4,1781
276,Producto_27,Cliente_1414,Sucursal_10,2023-06-27,3,3801
277,Producto_13,Cliente_290,Sucursal_12,2023-12-11,5,1794
278,Producto_6,Cliente_695,Sucursal_3,2025-06-21,5,3847
279,Producto_78,Cliente_1825,Sucursal_3,2025-07-22,2,3798
280,Producto_28,Cliente_1439,Sucursal_12,2025-07-17,2,5303
281,Producto_49,Cliente_468,Sucursal_13,2025-07-01,1,917
282,Producto_62,Cliente_1182,Sucursal_2,2023-04-11,4,13201
283,Producto_73,Cliente_1880,Sucursal_4,2025-02-03,5,4814
284,Producto_91,Cliente_1460,Sucursal_9,2025-07-16,1,3348
285,Producto_51,Cliente_1543,Sucursal_15,2025-09-06,3,1508
286,Producto_24,Cliente_360,Sucursal_4,2025-03-09,1,899
287,Producto_19,Cliente_300,Sucursal_13,2023-04-24,3,913
288,Producto_89,Cliente_1715,Sucursal_10,2023-08-18,1,3844
289,Producto_69,Cliente_1424,Sucursal_1,2024-04-26,3,14417
290,Producto_27,Cliente_930,Sucursal_15,2024-05-09,4,2695
291,Producto_93,Cliente_1544,Sucursal_3,2025-09-25,3,1789
292,Producto_96,Cliente_1137,Sucursal_2,2025-06-23,5,7242
293,Producto_4,Cliente_1461,Sucursal_14,2025-09-13,5,6557
294,Producto_11,Cliente_931,Sucursal_3,2023-11-29,2,857
295,Producto_51,Cliente_1347,Sucursal_9,2025-07-24,5,489
296,Producto_11,Cliente_1041,Sucursal_15,2023-10-09,3,1695
297,Producto_25,Cliente_553,Sucursal_10,2025-04-10,2,11345
298,Producto_96,Cliente_1465,Sucursal_9,2024-06-20,4,2434
299,Producto_45,Cliente_524,Sucursal_13,2025-05-04,1,575
300,Producto_37,Cliente_1691,Sucursal_5,2024-08-18,2,1032
301,Producto_48,Cliente_1782,Sucursal_14,2023-08-18,4,2145
302,Producto_59,Cliente_1823,Sucursal_12,2025-01-25,4,5783
303,Producto_97,Cliente_1014,Sucursal_3,2025-07-11,1,11438
304,Producto_71,Cliente_1151,Sucursal_15,2023-12-10,5,4034
305,Producto_56,Cliente_1553,Sucursal_3,2023-09-07,5,4697
306,Producto_51,Cliente_1510,Sucursal_11,2023-11-09,1,387
307,Producto_64,Cliente_1583,Sucursal_5,2023-07-01,5,8330
308,Producto_94,Cliente_1345,Sucursal_3,2024-04-26,4,7035
309,Producto_36,Cliente_602,Sucursal_15,2025-10-30,4,2195
310,Producto_2,Cliente_74,Sucursal_2,2023-12-08,3,822
311,Producto_33,Cliente_1537,Sucursal_11,2025-06-22,5,11204
312,Producto_95,Cliente_1250,Sucursal_6,2024-02-22,3,7963
313,Producto_88,Cliente_668,Sucursal_8,2024-01-15,2,4013
314,Producto_89,Cliente_616,Sucursal_3,2025-02-03,3,5157
315,Producto_12,Cliente_1790,Sucursal_1,2024-02-12,5,9632
316,Producto_57,Cliente_1753,Sucursal_14,2024-04-29,5,1560
317,Producto_42,Cliente_260,Sucursal_4,2025-12-09,3,4972
318,Producto_31,Cliente_363,Sucursal_12,2024-07-28,5,1914
319,Producto_71,Cliente_1748,Sucursal_15,2024-07-18,3,735
320,Producto_17,Cliente_848,Sucursal_2,2025-03-01,2,3210
321,Producto_74,Cliente_221,Sucursal_14,2025-11-15,3,11159
322,Producto_53,Cliente_476,Sucursal_13,2023-08-15,5,3972
323,Producto_48,Cliente_1887,Sucursal_8,2024-02-22,1,1886
324,Producto_79,Cliente_223,Sucursal_4,2025-06-11,5,7624
325,Producto_5,Cliente_987,Sucursal_13,2023-05-31,4,933
326,Producto_66,Cliente_1977,Sucursal_3,2025-09-25,3,8526
327,Producto_64,Cliente_1570,Sucursal_11,2023-04-23,1,5857
328,Producto_15,Cliente_1036,Sucursal_7,2025-01-24,5,2104
329,Producto_92,Cliente_1364,Sucursal_1,2023-12-08,5,6744
330,Producto_96,Cliente_549,Sucursal_1,2025-09-30,2,2033
331,Producto_56,Cliente_841,Sucursal_1,2024-06-09,5,894
332,Producto_12,Cliente_1059,Sucursal_14,2025-10-04,3,11276
333,Producto_44,Cliente_891,Sucursal_2,2023-10-22,5,1146
334,Producto_87,Cliente_353,Sucursal_5,2023-05-06,1,3884
335,Producto_18,Cliente_1336,Sucursal_5,2023-09-22,3,729
336,Producto_49,Cliente_1064,Sucursal_8,2025-10-10,4,344
337,Producto_85,Cliente_1068,Sucursal_7,2023-10-13,5,1250
338,Producto_72,Cliente_1932,Sucursal_7,2024-02-23,1,2169
339,Producto_72,Cliente_391,Sucursal_4,2023-07-07,5,1640
340,Producto_18,Cliente_1454,Sucursal_2,2024-04-25,5,623
341,Producto_43,Cliente_930,Sucursal_5,2024-03-25,5,15722
342,Producto_5,Cliente_559,Sucursal_11,2025-05-23,4,1853
343,Producto_22,Cliente_1890,Sucursal_15,2025-04-22,3,2706
344,Producto_2,Cliente_1879,Sucursal_6,2025-10-22,4,1028
345,Producto_1,Cliente_107,Sucursal_11,2023-01-08,1,4942
346,Producto_43,Cliente_1170,Sucursal_10,2023-04-16,4,14414
347,Producto_70,Cliente_548,Sucursal_7,2024-03-14,4,6827
348,Producto_57,Cliente_476,Sucursal_1,2024-06-29,1,1380
349,Producto_64,Cliente_816,Sucursal_9,2024-02-15,3,10584
350,Producto_37,Cliente_945,Sucursal_6,2025-02-04,4,1162
351,Producto_75,Cliente_1976,Sucursal_3,2024-08-02,5,862
352,Producto_82,Cliente_1571,Sucursal_13,2024-08-04,2,1996
353,Producto_2,Cliente_409,Sucursal_11,2025-07-27,5,107
354,Producto_43,Cliente_958,Sucursal_7,2025-07-28,5,7256
355,Producto_77,Cliente_881,Sucursal_9,2025-05-11,2,8123
356,Producto_78,Cliente_284,Sucursal_14,2025-12-17,5,650
357,Producto_71,Cliente_1544,Sucursal_9,2025-12-28,5,4625
358,Producto_99,Cliente_1333,Sucursal_7,2024-12-27,1,1519
359,Producto_96,Cliente_556,Sucursal_11,2024-07-31,4,5019
360,Producto_75,Cliente_1646,Sucursal_8,2023-08-03,4,992
361,Producto_88,Cliente_916,Sucursal_10,2023-07-25,1,10237
362,Producto_59,Cliente_1414,Sucursal_8,2023-05-07,2,8151
363,Producto_32,Cliente_1022,Sucursal_12,2024-07-29,4,635
364,Producto_19,Cliente_1579,Sucursal_6,2025-02-26,2,756
365,Producto_5,Cliente_1334,Sucursal_2,2025-12-16,3,1696
366,Producto_85,Cliente_1505,Sucursal_4,2023-07-25,1,1892
367,Producto_46,Cliente_1630,Sucursal_4,2024-09-10,2,5302
368,Producto_68,Cliente_224,Sucursal_3,2023-03-07,3,593
369,Producto_32,Cliente_1923,Sucursal_12,2025-03-11,1,2865
370,Producto_38,Cliente_1493,Sucursal_11,2024-02-07,4,13476
371,Producto_11,Cliente_1434,Sucursal_8,2024-10-22,1,1391
372,Producto_18,Cliente_1215,Sucursal_2,2025-04-13,2,751
373,Producto_13,Cliente_1074,Sucursal_6,2024-04-23,4,1424
374,Producto_34,Cliente_948,Sucursal_4,2025-01-20,4,1463
375,Producto_73,Cliente_1281,Sucursal_1,2025-12-16,1,1216
376,Producto_1,Cliente_1603,Sucursal_2,2025-02-23,3,7234
377,Producto_53,Cliente_499,Sucursal_8,2024-07-06,2,6483
378,Producto_55,Cliente_78,Sucursal_15,2023-01-04,5,4337
379,Producto_100,Cliente_429,Sucursal_9,2025-09-30,4,14045
380,Producto_40,Cliente_1092,Sucursal_1,2024-07-20,1,2707
381,Producto_10,Cliente_307,Sucursal_3,2023-11-04,2,766
382,Producto_45,Cliente_1317,Sucursal_5,2024-08-10,2,266
383,Producto_74,Cliente_1893,Sucursal_11,2025-12-27,5,4781
384,Producto_1,Cliente_1638,Sucursal_5,2024-08-13,2,10701
385,Producto_57,Cliente_1874,Sucursal_9,2024-12-06,3,685
386,Producto_97,Cliente_277,Sucursal_3,2023-03-06,4,11639
387,Producto_48,Cliente_1681,Sucursal_9,2025-11-19,2,1709
388,Producto_25,Cliente_1524,Sucursal_8,2023-11-14,4,14395
389,Producto_46,Cliente_1956,Sucursal_14,2023-09-16,2,5305
390,Producto_20,Cliente_201,Sucursal_4,2025-04-14,2,3316
391,Producto_80,Cliente_673,Sucursal_12,2025-03-08,3,3710
392,Producto_16,Cliente_1654,Sucursal_1,2024-02-15,3,542
393,Producto_85,Cliente_591,Sucursal_5,2023-03-02,3,839
394,Producto_74,Cliente_1223,Sucursal_11,2025-03-22,4,13277
395,Producto_61,Cliente_1046,Sucursal_11,2025-04-11,3,8327
