cliente,genero,edad,ciudad_cliente
Cliente_1001,Masculino,28,TIJUANA
Cliente_692,Masculino,23,PUEBLA
Cliente_1837,Femenino,28,puebla
Cliente_1893,Masculino,49,Mérida
Cliente_1234,Masculino,42,Tijuana
Cliente_179,Masculino,29,León
Cliente_583,Femenino,21,puebla
Cliente_634,Femenino,31,GUADALAJARA
Cliente_1427,Femenino,37,GUADALAJARA
Cliente_302,Femenino,33,TIJUANA
Cliente_1970,Femenino,48,PUEBLA
Cliente_1354,Femenino,67,Cancún
Cliente_1906,Masculino,22,Tijuana
Cliente_700,Femenino,70,Monterrey
Cliente_446,Masculino,26,guadalajara
Cliente_1595,Masculino,63,tijuana
Cliente_1208,Masculino,24,CANCÚN
Cliente_192,Femenino,24,ciudad de méxico
Cliente_1738,Femenino,55,monterrey
Cliente_1093,Masculino,50,monterrey
Cliente_306,Masculino,52,Monterrey
Cliente_650,Femenino,52,CANCÚN
Cliente_1693,Masculino,52,Cancún
Cliente_290,Femenino,70,cancún
Cliente_789,Femenino,51,puebla
Cliente_61,Masculino,47,guadalajara
Cliente_1866,Femenino,52,Guadalajara
Cliente_740,Femenino,41,monterrey
Cliente_857,Masculino,53,TAPACHULA
Cliente_780,Femenino,30,TUXTLA GUTIÉRREZ
Cliente_274,Femenino,28,Mérida
Cliente_140,Femenino,60,Puebla
Cliente_575,Femenino,59,Mérida
Cliente_885,Masculino,26,Guadalajara
Cliente_227,Masculino,67,LEÓN
Cliente_270,Masculino,39,Monterrey
Cliente_131,Femenino,18,ciudad de méxico
Cliente_1696,Masculino,62,tijuana
Cliente_1732,Masculino,39,MONTERREY
Cliente_1246,Masculino,30,Tuxtla Gutiérrez
Cliente_1117,Femenino,55,Cancún
Cliente_1802,Femenino,44,león
Cliente_501,Femenino,33,Tapachula
Cliente_1992,Femenino,40,Tapachula
Cliente_309,Femenino,45,GUADALAJARA
Cliente_1794,Femenino,29,Ciudad de México
Cliente_1574,Masculino,48,MÉRIDA
Cliente_812,Femenino,26,PUEBLA
Cliente_136,Femenino,65,PUEBLA
Cliente_129,Masculino,50,PUEBLA
Cliente_688,Masculino,63,Mérida
Cliente_1365,Femenino,34,Tuxtla Gutiérrez
Cliente_1080,Masculino,18,tapachula
Cliente_1300,Masculino,19,Guadalajara
Cliente_1701,Femenino,40,MÉRIDA
Cliente_1187,Femenino,27,LEÓN
Cliente_211,Masculino,26,puebla
Cliente_1118,Masculino,62,CANCÚN
Cliente_898,Masculino,57,MÉRIDA
Cliente_1545,Masculino,53,Tuxtla Gutiérrez
Cliente_1908,Masculino,19,Guadalajara
Cliente_1755,Masculino,58,MONTERREY
Cliente_674,Femenino,70,guadalajara
Cliente_1890,Femenino,51,LEÓN
Cliente_1768,Femenino,40,monterrey
Cliente_445,Femenino,21,LEÓN
Cliente_1985,Femenino,67,guadalajara
Cliente_232,Femenino,46,mérida
Cliente_1317,Femenino,30,Tuxtla Gutiérrez
Cliente_1739,Femenino,34,guadalajara
Cliente_399,Masculino,58,Tijuana
Cliente_607,Masculino,34,TAPACHULA
Cliente_903,Femenino,36,mérida
Cliente_259,Masculino,39,puebla
Cliente_395,Masculino,33,Mérida
Cliente_1584,Femenino,61,guadalajara
Cliente_86,Femenino,31,Tuxtla Gutiérrez
,Femenino,47,Ciudad de México
Cliente_1641,Femenino,40,Guadalajara
Cliente_972,Masculino,64,Cancún
Cliente_541,Femenino,59,GUADALAJARA
Cliente_1827,Masculino,67,PUEBLA
Cliente_1829,Femenino,22,tuxtla gutiérrez
Cliente_1340,Femenino,51,LEÓN
Cliente_1170,Femenino,47,monterrey
Cliente_833,Femenino,58,tijuana
Cliente_1592,Femenino,22,mérida
Cliente_339,Masculino,32,tijuana
Cliente_1948,Masculino,29,mérida
Cliente_1043,Femenino,22,MONTERREY
Cliente_523,Masculino,19,cancún
Cliente_802,Femenino,50,Monterrey
Cliente_769,Masculino,60,ciudad de méxico
Cliente_958,Femenino,53,mérida
Cliente_1279,Femenino,48,guadalajara
Cliente_1487,Femenino,28,Puebla
Cliente_1192,Masculino,66,TUXTLA GUTIÉRREZ
Cliente_509,Masculino,43,tijuana
Cliente_1414,Femenino,49,MONTERREY
Cliente_290,Femenino,70,CANCÚN
Cliente_695,Femenino,25,cancún
Cliente_1825,Femenino,59,tuxtla gutiérrez
Cliente_1439,Femenino,47,Cancún
Cliente_468,Masculino,32,Tapachula
Cliente_1182,Femenino,40,cancún
Cliente_1880,Masculino,27,CANCÚN
Cliente_1460,Masculino,54,león
Cliente_1543,Masculino,67,PUEBLA
Cliente_360,Masculino,39,Puebla
Cliente_300,Masculino,23,ciudad de méxico
Cliente_1715,Masculino,68,PUEBLA
Cliente_1424,Femenino,64,Cancún
Cliente_930,Femenino,47,CANCÚN
Cliente_1544,Masculino,35,PUEBLA
Cliente_1137,Masculino,33,León
Cliente_1461,Femenino,28,Guadalajara
Cliente_931,Masculino,41,monterrey
Cliente_1347,Femenino,21,Tapachula
Cliente_1041,Masculino,21,Puebla
Cliente_553,Masculino,30,Cancún
Cliente_1465,Masculino,36,Mérida
Cliente_524,Femenino,39,CANCÚN
Cliente_1691,Masculino,41,TIJUANA
Cliente_1782,Masculino,22,LEÓN
Cliente_1823,Femenino,28,TUXTLA GUTIÉRREZ
Cliente_1014,Masculino,28,Tapachula
Cliente_1151,Masculino,70,Tapachula
Cliente_1553,Masculino,53,Tapachula
Cliente_1510,Femenino,37,LEÓN
Cliente_1583,Masculino,18,león
Cliente_1345,Femenino,26,TAPACHULA
Cliente_602,Femenino,23,cancún
Cliente_74,Femenino,27,León
Cliente_1537,Femenino,33,Tijuana
Cliente_1250,Masculino,36,Tijuana
Cliente_668,Masculino,40,Tapachula
Cliente_616,Femenino,47,CANCÚN
Cliente_1790,Femenino,64,león
Cliente_1753,Masculino,52,León
Cliente_260,Femenino,41,Tapachula
Cliente_363,Femenino,25,guadalajara
Cliente_1748,Masculino,22,LEÓN
Cliente_848,Femenino,61,MONTERREY
Cliente_221,Masculino,47,LEÓN
Cliente_476,Masculino,47,CIUDAD DE MÉXICO
Cliente_1887,Masculino,27,GUADALAJARA
Cliente_223,Masculino,54,Monterrey
Cliente_987,Femenino,58,PUEBLA
Cliente_1977,Masculino,65,Tapachula
Cliente_1570,Masculino,38,Cancún
Cliente_1036,Masculino,57,puebla
Cliente_1364,Masculino,25,tijuana
Cliente_549,Femenino,47,tijuana
Cliente_841,Femenino,44,TUXTLA GUTIÉRREZ
Cliente_1059,Masculino,61,CANCÚN
Cliente_891,Femenino,36,Puebla
Cliente_353,Masculino,61,CIUDAD DE MÉXICO
Cliente_1336,Masculino,47,GUADALAJARA
Cliente_1064,Masculino,30,GUADALAJARA
Cliente_1068,Masculino,64,mérida
Cliente_1932,Femenino,39,león
Cliente_391,Masculino,40,cancún
Cliente_1454,Masculino,54,ciudad de méxico
Cliente_930,Femenino,47,cancún
Cliente_559,Masculino,42,Cancún
Cliente_1890,Femenino,51,león
Cliente_1879,Femenino,22,Puebla
Cliente_107,Femenino,65,PUEBLA
Cliente_1170,Femenino,47,Monterrey
Cliente_548,Femenino,57,LEÓN
Cliente_476,Masculino,47,CIUDAD DE MÉXICO
Cliente_816,Masculino,20,CIUDAD DE MÉXICO
Cliente_945,Femenino,26,Cancún
Cliente_1976,Masculino,65,tuxtla gutiérrez
Cliente_1571,Masculino,30,Guadalajara
Cliente_409,Masculino,26,Ciudad de México
Cliente_958,Femenino,53,mérida
Cliente_881,Masculino,48,Cancún
Cliente_284,,23,MONTERREY
Cliente_1544,Masculino,35,PUEBLA
Cliente_1333,Masculino,62,tapachula
Cliente_556,Femenino,55,PUEBLA
Cliente_1646,Femenino,19,Mérida
Cliente_916,Masculino,65,Tijuana
Cliente_1414,Femenino,49,MONTERREY
Cliente_1022,Femenino,19,TAPACHULA
Cliente_1579,Femenino,39,Mérida
Cliente_1334,Masculino,48,Tijuana
Cliente_1505,Masculino,43,león
Cliente_1630,Masculino,34,Puebla
Cliente_224,Masculino,58,CANCÚN
Cliente_1923,Masculino,60,puebla
Cliente_1493,Masculino,69,guadalajara
Cliente_1434,Masculino,40,león
Cliente_1215,Masculino,70,guadalajara
Cliente_1074,Masculino,35,Ciudad de México
Cliente_948,Femenino,22,ciudad de méxico
Cliente_1281,Femenino,27,cancún
Cliente_1603,Femenino,50,tijuana
Cliente_499,Femenino,32,GUADALAJARA
Cliente_78,Femenino,24,Cancún
Cliente_429,Masculino,20,Tapachula
Cliente_1092,Masculino,69,Tuxtla Gutiérrez
Cliente_307,Femenino,55,Ciudad de México
Cliente_1317,Femenino,30,TUXTLA GUTIÉRREZ
Cliente_1893,Masculino,49,MÉRIDA
Cliente_1638,Femenino,45,León
Cliente_1874,Femenino,42,León
Cliente_277,Masculino,60,TAPACHULA
Cliente_1681,Femenino,44,Guadalajara
Cliente_1524,Masculino,39,Mérida
Cliente_1956,Masculino,33,tapachula
Cliente_201,Masculino,37,cancún
Cliente_673,Masculino,32,CIUDAD DE MÉXICO
Cliente_1654,Masculino,21,Mérida
Cliente_591,Masculino,56,CIUDAD DE MÉXICO
Cliente_1223,Femenino,23,tijuana
Cliente_1046,Femenino,39,TIJUANA
Cliente_1044,Femenino,29,Cancún
Cliente_1938,Masculino,60,PUEBLA
Cliente_1967,Masculino,60,Tapachula
Cliente_1149,Masculino,65,MONTERREY
Cliente_750,Masculino,46,TAPACHULA
Cliente_1498,Masculino,44,Monterrey
Cliente_388,Masculino,69,Mérida
Cliente_920,Masculino,46,TAPACHULA
Cliente_1406,Femenino,21,TUXTLA GUTIÉRREZ
Cliente_761,Femenino,69,CANCÚN
Cliente_1533,Femenino,27,CIUDAD DE MÉXICO
Cliente_1574,Masculino,48,mérida
Cliente_612,Masculino,22,tijuana
Cliente_758,Femenino,61,TAPACHULA
Cliente_650,Femenino,52,cancún
Cliente_773,Femenino,33,monterrey
Cliente_793,Femenino,19,mérida
Cliente_1385,Masculino,37,MONTERREY
Cliente_1277,Femenino,68,tijuana
Cliente_831,Masculino,51,Puebla
Cliente_1773,Masculino,57,león
Cliente_1809,Femenino,41,monterrey
Cliente_1761,Masculino,30,CIUDAD DE MÉXICO
Cliente_87,Masculino,66,Mérida
Cliente_587,Femenino,18,Cancún
Cliente_157,Masculino,29,Mérida
Cliente_1566,Femenino,62,tapachula
Cliente_1148,Femenino,45,Ciudad de México
Cliente_814,Femenino,24,león
Cliente_1847,Femenino,29,Cancún
Cliente_1602,Masculino,65,MÉRIDA
Cliente_1947,Femenino,39,CANCÚN
Cliente_1729,Masculino,20,guadalajara
Cliente_425,,38,ciudad de méxico
Cliente_960,Masculino,39,Tapachula
Cliente_1502,Masculino,62,ciudad de méxico
Cliente_255,Femenino,22,León
Cliente_1002,Femenino,50,Tapachula
Cliente_16,Masculino,22,tijuana
Cliente_991,Femenino,32,cancún
Cliente_1166,Femenino,28,LEÓN
Cliente_371,Masculino,50,guadalajara
Cliente_332,Masculino,51,Tuxtla Gutiérrez
Cliente_1191,Masculino,65,tijuana
Cliente_1200,Masculino,34,Puebla
Cliente_1410,Femenino,21,CIUDAD DE MÉXICO
Cliente_1298,Masculino,68,ciudad de méxico
Cliente_1695,Masculino,52,GUADALAJARA
Cliente_1142,Masculino,61,Ciudad de México
Cliente_580,Femenino,64,Puebla
Cliente_1563,Masculino,22,Ciudad de México
Cliente_480,Femenino,56,MÉRIDA
Cliente_1625,Femenino,28,monterrey
Cliente_717,Masculino,19,TUXTLA GUTIÉRREZ
Cliente_1100,Femenino,47,MONTERREY
Cliente_452,Femenino,52,CIUDAD DE MÉXICO
Cliente_409,Masculino,26,Ciudad de México
Cliente_909,Femenino,35,MÉRIDA
Cliente_553,Masculino,30,CANCÚN
Cliente_548,Femenino,57,león
Cliente_402,Femenino,49,ciudad de méxico
Cliente_766,Masculino,41,LEÓN
Cliente_627,Femenino,21,Tapachula
Cliente_737,Masculino,54,Ciudad de México
Cliente_1136,Masculino,37,puebla
Cliente_980,Masculino,48,León
Cliente_1593,Masculino,25,Ciudad de México
Cliente_579,Masculino,31,tijuana
Cliente_1988,Masculino,54,MÉRIDA
Cliente_1896,Femenino,28,guadalajara
Cliente_562,Femenino,35,MONTERREY
Cliente_470,Femenino,30,TAPACHULA
Cliente_1584,Femenino,61,Guadalajara
Cliente_1577,Femenino,69,león
Cliente_1322,Masculino,67,león
Cliente_1618,Femenino,41,Mérida
Cliente_1466,Femenino,26,Puebla
Cliente_982,Femenino,41,TAPACHULA
Cliente_1798,Femenino,32,tijuana
Cliente_176,Femenino,39,puebla
Cliente_696,Masculino,55,CANCÚN
Cliente_1004,Masculino,47,Ciudad de México
Cliente_1314,Femenino,42,CIUDAD DE MÉXICO
Cliente_134,Femenino,24,monterrey
Cliente_1788,Femenino,30,Puebla
Cliente_1890,Femenino,51,León
Cliente_1249,Femenino,66,Cancún
Cliente_379,Femenino,65,PUEBLA
Cliente_602,Femenino,23,cancún
Cliente_930,Femenino,47,Cancún
Cliente_1625,Femenino,28,MONTERREY
Cliente_1774,Femenino,62,puebla
Cliente_1405,Femenino,21,LEÓN
Cliente_1896,Femenino,28,guadalajara
Cliente_1515,Femenino,56,guadalajara
Cliente_311,Femenino,52,Monterrey
Cliente_851,Femenino,26,PUEBLA
Cliente_928,Femenino,50,CIUDAD DE MÉXICO
Cliente_299,Femenino,58,CANCÚN
Cliente_729,Femenino,29,Tapachula
Cliente_1812,Masculino,42,ciudad de méxico
Cliente_962,Masculino,30,tijuana
Cliente_141,Femenino,41,MONTERREY
Cliente_438,Femenino,70,MÉRIDA
Cliente_1829,Femenino,22,Tuxtla Gutiérrez
Cliente_1005,Masculino,43,TIJUANA
Cliente_1028,Femenino,69,León
Cliente_1047,Femenino,24,Mérida
Cliente_1138,Femenino,45,monterrey
Cliente_1025,Femenino,31,Monterrey
Cliente_1763,Femenino,68,TIJUANA
Cliente_210,Masculino,46,LEÓN
Cliente_779,Femenino,31,LEÓN
Cliente_1324,Masculino,25,Monterrey
Cliente_662,Masculino,59,PUEBLA
Cliente_605,Masculino,34,PUEBLA
Cliente_1293,Masculino,40,Guadalajara
Cliente_1378,Femenino,53,Cancún
Cliente_257,Masculino,35,guadalajara
Cliente_1064,Masculino,30,GUADALAJARA
Cliente_1039,Masculino,62,MÉRIDA
Cliente_1800,Masculino,60,Cancún
Cliente_706,Masculino,25,MÉRIDA
Cliente_762,Femenino,63,CANCÚN
Cliente_502,Femenino,64,PUEBLA
Cliente_1918,Masculino,23,TIJUANA
Cliente_689,Femenino,44,tijuana
Cliente_1137,Masculino,33,León
Cliente_185,Femenino,67,CIUDAD DE MÉXICO
Cliente_877,Masculino,36,TUXTLA GUTIÉRREZ
Cliente_1447,Femenino,34,MÉRIDA
Cliente_1440,Masculino,68,CANCÚN
Cliente_1053,Masculino,39,guadalajara
Cliente_697,Femenino,65,Tijuana
Cliente_17,Femenino,26,Tijuana
Cliente_1671,Masculino,54,Ciudad de México
Cliente_277,Masculino,60,TAPACHULA
Cliente_887,Masculino,61,CANCÚN
Cliente_408,Femenino,27,Tuxtla Gutiérrez
Cliente_727,Masculino,40,Mérida
Cliente_1269,Femenino,68,Monterrey
Cliente_504,Masculino,42,León
Cliente_1733,Femenino,46,Monterrey
Cliente_1040,Masculino,39,MONTERREY
Cliente_1229,Masculino,52,monterrey
Cliente_1987,Femenino,32,mérida
Cliente_1334,Masculino,48,Tijuana
Cliente_380,Femenino,62,Tapachula
Cliente_1830,Masculino,47,tuxtla gutiérrez
Cliente_1757,Femenino,65,CANCÚN
Cliente_428,Femenino,49,TUXTLA GUTIÉRREZ
Cliente_154,Femenino,24,Puebla
Cliente_141,Femenino,41,MONTERREY
Cliente_748,Masculino,28,guadalajara
Cliente_268,Femenino,28,TIJUANA
Cliente_1631,Femenino,34,ciudad de méxico
Cliente_400,Femenino,39,TIJUANA
Cliente_966,Femenino,66,Ciudad de México
Cliente_1327,Masculino,23,Puebla
Cliente_236,Masculino,20,Tijuana
Cliente_708,Femenino,58,Mérida
Cliente_821,Masculino,68,Guadalajara
Cliente_1556,Masculino,66,Cancún
Cliente_992,Masculino,25,LEÓN
Cliente_1902,Masculino,56,León
Cliente_1919,Masculino,46,mérida
Cliente_580,Femenino,64,puebla
Cliente_742,Femenino,18,ciudad de méxico
Cliente_1771,Masculino,44,Monterrey
Cliente_743,Masculino,25,Cancún
Cliente_1016,Femenino,27,tuxtla gutiérrez
Cliente_500,Femenino,33,ciudad de méxico
Cliente_1436,Masculino,52,León
Cliente_929,Masculino,30,MÉRIDA
Cliente_992,Masculino,25,león
Cliente_1631,Femenino,34,ciudad de méxico
Cliente_1722,Masculino,62,león
Cliente_836,Femenino,53,tapachula
Cliente_1119,Masculino,23,GUADALAJARA
Cliente_311,Femenino,52,monterrey
Cliente_1302,Masculino,58,Puebla
Cliente_1913,Femenino,52,Monterrey
Cliente_666,Masculino,24,Mérida
Cliente_555,Femenino,43,tijuana
Cliente_4,Femenino,41,CANCÚN
Cliente_93,Femenino,22,LEÓN
Cliente_605,Masculino,34,puebla
Cliente_982,Femenino,41,TAPACHULA
Cliente_1925,Masculino,42,GUADALAJARA
Cliente_1453,Masculino,45,ciudad de méxico
Cliente_286,Femenino,32,Tuxtla Gutiérrez
Cliente_1211,Masculino,51,CANCÚN
Cliente_1653,Femenino,54,LEÓN
Cliente_188,Masculino,44,MONTERREY
Cliente_376,Masculino,58,GUADALAJARA
Cliente_1422,Femenino,60,Tapachula
Cliente_1744,Femenino,22,monterrey
Cliente_570,Femenino,27,mérida
Cliente_1710,Femenino,36,León
Cliente_40,Femenino,30,León
Cliente_1332,Masculino,57,TAPACHULA
Cliente_1142,Masculino,61,ciudad de méxico
Cliente_761,Femenino,69,cancún
Cliente_223,Masculino,54,monterrey
Cliente_230,Femenino,31,cancún
Cliente_1642,Masculino,69,León
Cliente_1720,Femenino,39,MONTERREY
Cliente_787,Masculino,24,Mérida
Cliente_24,Femenino,43,CIUDAD DE MÉXICO
Cliente_1635,Femenino,25,Mérida
Cliente_541,Femenino,59,GUADALAJARA
Cliente_733,Masculino,68,mérida
Cliente_1070,Masculino,49,MONTERREY
Cliente_1732,Masculino,39,MONTERREY
Cliente_412,Femenino,29,ciudad de méxico
Cliente_1170,Femenino,47,monterrey
Cliente_533,Femenino,70,Ciudad de México
Cliente_1885,Masculino,28,CANCÚN
Cliente_1576,Masculino,37,mérida
Cliente_223,Masculino,54,MONTERREY
Cliente_1320,Femenino,50,CANCÚN
Cliente_807,Masculino,45,Cancún
Cliente_285,Masculino,40,CANCÚN
Cliente_1424,Femenino,64,cancún
Cliente_650,Femenino,52,CANCÚN
Cliente_1319,Femenino,53,guadalajara
Cliente_884,Masculino,42,Monterrey
Cliente_91,Masculino,63,Mérida
Cliente_398,Femenino,19,tuxtla gutiérrez
Cliente_836,Femenino,53,TAPACHULA
Cliente_545,Masculino,32,puebla
Cliente_653,Femenino,41,Guadalajara
Cliente_1238,Femenino,67,LEÓN
Cliente_367,Masculino,52,Puebla
Cliente_279,Masculino,22,cancún
Cliente_105,Masculino,63,CIUDAD DE MÉXICO
Cliente_276,Femenino,31,GUADALAJARA
Cliente_318,Masculino,21,Puebla
Cliente_1203,Femenino,69,MONTERREY
Cliente_1726,Masculino,66,tijuana
Cliente_601,Femenino,58,Cancún
Cliente_1494,Masculino,67,MONTERREY
Cliente_14,Masculino,64,TUXTLA GUTIÉRREZ
Cliente_274,Femenino,28,Mérida
Cliente_348,Masculino,46,Mérida
Cliente_564,Femenino,34,puebla
Cliente_1032,Femenino,51,MÉRIDA
Cliente_710,Masculino,40,cancún
Cliente_1605,Masculino,19,monterrey
Cliente_215,Femenino,47,tijuana
Cliente_1661,Femenino,67,monterrey
Cliente_1556,Masculino,66,CANCÚN
Cliente_730,Femenino,67,Mérida
Cliente_17,Femenino,26,TIJUANA
Cliente_1322,Masculino,67,LEÓN
Cliente_1125,Masculino,61,Tapachula
Cliente_603,Femenino,32,LEÓN
Cliente_990,Femenino,29,Cancún
Cliente_1588,Femenino,34,MÉRIDA
Cliente_545,Masculino,32,puebla
Cliente_499,Femenino,32,guadalajara
Cliente_1001,Masculino,28,Tijuana
Cliente_313,Femenino,20,CANCÚN
Cliente_113,Femenino,62,León
