id_venta,producto,categoria,marca,cliente,genero,edad,ciudad_cliente,sucursal,ciudad_sucursal,estado,fecha,cantidad,precio,total
78,Producto_4,Muebles,NextGen,Cliente_1957,Femenino,33,CANCÚN,Sucursal_13,León,Guanajuato,2023-08-08,3,2865,8595
79,Producto_97,Electrónica,NextGen,Cliente_172,Masculino,33,CANCÚN,Sucursal_13,león,Guanajuato,2025-07-26,1,7792,7792
80,Producto_62,Tecnología,HomePro,Cliente_948,Femenino,22,Ciudad de México,Sucursal_4,MÉRIDA,Yucatán,2024-08-07,3,12700,38100
81,Producto_51,Ropa,HomePro,Cliente_63,Masculino,30,GUADALAJARA,Sucursal_13,león,Guanajuato,2024-06-18,1,1064,1064
82,Producto_81,Muebles,FitLife,Cliente_1045,Masculino,38,León,Sucursal_6,LEÓN,Guanajuato,2023-03-06,4,2620,10480
83,Producto_75,Accesorios,UrbanStyle,Cliente_169,Masculino,19,Mérida,Sucursal_1,monterrey,Nuevo León,2024-08-19,1,957,957
84,Producto_54,Ropa,HomePro,Cliente_18,Masculino,33,TIJUANA,Sucursal_2,MÉRIDA,Yucatán,2025-06-25,5,1555,7775
85,Producto_6,Tecnología,Omega,Cliente_205,Femenino,23,puebla,Sucursal_8,puebla,Puebla,2023-11-05,4,10947,43788
86,Producto_80,Tecnología,Nova,Cliente_1459,Masculino,42,cancún,Sucursal_8,puebla,Puebla,2024-01-14,1,12521,12521
87,Producto_21,Hogar,ComfortPlus,Cliente_296,Masculino,61,PUEBLA,Sucursal_8,PUEBLA,Puebla,2023-05-26,5,2968,14840
88,Producto_9,Accesorios,UrbanStyle,Cliente_789,Femenino,51,PUEBLA,Sucursal_2,Mérida,Yucatán,2024-12-29,4,683,2732
89,Producto_82,Ropa,ComfortPlus,Cliente_1537,Femenino,33,Tijuana,Sucursal_7,ciudad de méxico,CDMX,2025-10-13,2,539,1078
90,Producto_71,Hogar,ComfortPlus,Cliente_46,Masculino,51,tapachula,Sucursal_12,guadalajara,Jalisco,2023-01-27,4,1726,6904
91,Producto_66,Tecnología,Alpha,Cliente_46,Masculino,51,TAPACHULA,Sucursal_15,Mérida,Yucatán,2024-06-27,2,3819,7638
92,Producto_28,Tecnología,UrbanStyle,Cliente_1574,Masculino,48,mérida,Sucursal_4,Mérida,Yucatán,2024-11-25,3,13419,40257
93,Producto_17,Hogar,FitLife,Cliente_1752,Femenino,53,mérida,Sucursal_6,león,Guanajuato,2023-12-25,5,4589,22945
94,Producto_83,Hogar,Alpha,Cliente_665,Femenino,27,Cancún,Sucursal_8,Puebla,Puebla,2023-04-07,4,2667,10668
95,Producto_14,Electrónica,Nova,Cliente_1063,Femenino,56,MONTERREY,Sucursal_6,LEÓN,Guanajuato,2024-12-26,1,12152,12152
96,Producto_20,Hogar,Omega,Cliente_1475,Masculino,34,león,Sucursal_2,mérida,Yucatán,2024-08-25,2,2413,4826
97,Producto_61,Electrónica,NextGen,Cliente_1957,Femenino,33,cancún,Sucursal_1,monterrey,Nuevo León,2024-05-16,1,6767,6767
98,Producto_17,Hogar,FitLife,Cliente_33,Femenino,49,tuxtla gutiérrez,Sucursal_3,Monterrey,Nuevo León,2023-11-04,3,3111,9333
99,Producto_31,Deportes,HomePro,Cliente_1918,Masculino,23,TIJUANA,Sucursal_9,Tuxtla Gutiérrez,Chiapas,2025-05-06,3,2379,7137
100,Producto_74,Tecnología,TechBrand,Cliente_1048,Masculino,66,Guadalajara,Sucursal_8,PUEBLA,Puebla,2023-10-07,5,11063,55315
101,Producto_96,Muebles,Alpha,Cliente_1243,Masculino,23,mérida,Sucursal_12,guadalajara,Jalisco,2023-10-02,3,1832,5496
102,Producto_16,Accesorios,FitLife,Cliente_1119,Masculino,23,Guadalajara,Sucursal_3,MONTERREY,Nuevo León,2024-03-28,5,591,2955
103,Producto_17,Hogar,FitLife,Cliente_1674,Masculino,61,guadalajara,Sucursal_3,MONTERREY,Nuevo León,2024-11-28,5,3475,17375
104,Producto_10,Accesorios,TechBrand,Cliente_1815,Femenino,27,TAPACHULA,Sucursal_12,Guadalajara,Jalisco,2023-04-07,4,1482,5928
105,Producto_49,Deportes,HomePro,Cliente_1983,Masculino,56,TUXTLA GUTIÉRREZ,Sucursal_10,Monterrey,Nuevo León,2023-10-29,5,883,4415
106,Producto_64,Tecnología,Alpha,Cliente_1419,Femenino,29,León,Sucursal_14,PUEBLA,Puebla,2025-01-19,1,6214,6214
107,Producto_92,Tecnología,Nova,Cliente_538,Femenino,42,MÉRIDA,Sucursal_4,Mérida,Yucatán,2023-09-13,5,9674,48370
108,Producto_43,Electrónica,Omega,Cliente_1947,Femenino,39,cancún,Sucursal_6,LEÓN,Guanajuato,2025-12-04,5,13145,65725
109,Producto_54,Ropa,HomePro,Cliente_356,Masculino,31,MÉRIDA,Sucursal_12,Guadalajara,Jalisco,2023-06-01,4,1558,6232
110,Producto_25,Electrónica,Nova,Cliente_1026,Masculino,56,monterrey,Sucursal_6,león,Guanajuato,2024-05-10,4,10877,43508
111,Producto_34,Deportes,NextGen,Cliente_1507,Femenino,23,CANCÚN,Sucursal_4,mérida,Yucatán,2025-05-07,3,1844,5532
112,Producto_44,Accesorios,Nova,Cliente_1215,Masculino,70,GUADALAJARA,Sucursal_5,TIJUANA,Baja California,2023-09-26,3,-100,3963
113,Producto_63,Muebles,HomePro,Cliente_206,,35,puebla,Sucursal_5,Tijuana,Baja California,2023-02-15,5,2465,12325
114,Producto_10,Accesorios,TechBrand,Cliente_529,Femenino,62,Tapachula,Sucursal_10,Monterrey,Nuevo León,2025-01-23,3,810,2430
115,Producto_40,Deportes,Alpha,Cliente_612,Masculino,22,TIJUANA,Sucursal_2,mérida,Yucatán,2023-05-26,1,453,453
116,Producto_87,Tecnología,HomePro,Cliente_90,Femenino,50,mérida,Sucursal_6,León,Guanajuato,2024-11-06,2,10208,20416
117,Producto_60,Tecnología,ComfortPlus,Cliente_183,Masculino,44,TIJUANA,Sucursal_1,Monterrey,Nuevo León,2025-08-05,3,7068,21204
118,Producto_11,Ropa,Alpha,Cliente_1714,Femenino,26,mérida,Sucursal_10,Monterrey,Nuevo León,2024-03-07,5,1396,6980
119,Producto_24,Deportes,HomePro,Cliente_11,Masculino,52,CANCÚN,Sucursal_2,mérida,Yucatán,2025-07-19,3,1944,5832
120,Producto_11,Ropa,Alpha,Cliente_1860,Masculino,20,cancún,Sucursal_5,tijuana,Baja California,2023-09-02,1,926,926
121,Producto_42,Hogar,FitLife,Cliente_1271,Masculino,64,Tijuana,Sucursal_2,Mérida,Yucatán,2023-12-25,2,1643,3286
122,Producto_8,Ropa,Nova,Cliente_1739,Femenino,34,guadalajara,Sucursal_4,mérida,Yucatán,2025-06-20,2,743,1486
123,Producto_14,Electrónica,Nova,Cliente_1952,Femenino,54,TUXTLA GUTIÉRREZ,Sucursal_5,TIJUANA,Baja California,2025-10-23,1,8965,8965
124,Producto_45,Ropa,FitLife,Cliente_1092,Masculino,69,tuxtla gutiérrez,Sucursal_4,MÉRIDA,Yucatán,2023-08-01,4,692,2768
125,Producto_26,Electrónica,Omega,Cliente_936,Masculino,67,TUXTLA GUTIÉRREZ,Sucursal_15,Mérida,Yucatán,2025-12-22,3,16220,48660
126,Producto_81,Muebles,FitLife,Cliente_1203,Femenino,69,MONTERREY,Sucursal_14,puebla,Puebla,2023-06-04,2,2848,5696
127,Producto_32,Hogar,Alpha,Cliente_620,Femenino,49,Mérida,Sucursal_6,León,Guanajuato,2024-03-28,2,3900,7800
128,Producto_76,Ropa,Alpha,Cliente_783,Masculino,59,MONTERREY,Sucursal_6,león,Guanajuato,2024-08-08,3,380,1140
129,Producto_30,Electrónica,HomePro,Cliente_749,Masculino,29,Tuxtla Gutiérrez,Sucursal_1,Monterrey,Nuevo León,2023-03-28,5,9873,49365
130,Producto_32,Hogar,Alpha,Cliente_1168,Femenino,26,León,Sucursal_6,león,Guanajuato,2023-01-15,5,1853,9265
131,Producto_74,Tecnología,TechBrand,Cliente_930,,47,Cancún,Sucursal_12,guadalajara,Jalisco,2024-10-25,1,4947,4947
132,Producto_56,Hogar,Nova,Cliente_501,Femenino,33,TAPACHULA,Sucursal_3,Monterrey,Nuevo León,2023-10-27,4,718,2872
133,Producto_97,Electrónica,NextGen,Cliente_1348,Femenino,64,CIUDAD DE MÉXICO,Sucursal_7,ciudad de méxico,CDMX,2024-05-22,2,13878,27756
134,Producto_11,Ropa,Alpha,Cliente_1905,Masculino,59,Tapachula,Sucursal_7,CIUDAD DE MÉXICO,CDMX,2023-06-18,3,820,2460
135,Producto_43,Electrónica,Omega,Cliente_1425,Masculino,49,Cancún,Sucursal_5,Tijuana,Baja California,2023-05-01,2,17105,34210
136,Producto_20,Hogar,Omega,Cliente_790,Femenino,27,MÉRIDA,Sucursal_10,Monterrey,Nuevo León,2024-12-29,5,3387,16935
137,Producto_40,Deportes,Alpha,Cliente_1127,Femenino,38,MÉRIDA,Sucursal_8,puebla,Puebla,2025-11-10,1,804,804
138,Producto_92,Tecnología,Nova,Cliente_953,Masculino,60,guadalajara,Sucursal_6,LEÓN,Guanajuato,2025-10-19,4,3453,13812
139,Producto_17,Hogar,FitLife,Cliente_1062,Femenino,25,CIUDAD DE MÉXICO,Sucursal_10,MONTERREY,Nuevo León,2023-01-17,1,2147,2147
140,Producto_48,Deportes,Alpha,Cliente_670,Femenino,27,MÉRIDA,Sucursal_3,MONTERREY,Nuevo León,2025-03-01,1,564,564
141,Producto_89,Muebles,NextGen,Cliente_1397,Masculino,21,TAPACHULA,Sucursal_4,MÉRIDA,Yucatán,2024-10-30,0,3042,9126
142,Producto_13,Ropa,NextGen,Cliente_141,Femenino,41,MONTERREY,Sucursal_13,león,Guanajuato,2025-08-14,4,463,1852
143,Producto_70,Tecnología,NextGen,Cliente_898,Masculino,57,mérida,Sucursal_7,Ciudad de México,CDMX,2024-06-08,1,11386,11386
144,Producto_2,Accesorios,NextGen,Cliente_18,Masculino,33,TIJUANA,Sucursal_5,Tijuana,Baja California,2024-04-15,5,296,1480
145,Producto_89,Muebles,NextGen,Cliente_1105,Femenino,37,cancún,Sucursal_14,PUEBLA,Puebla,2024-11-05,4,3381,13524
146,Producto_23,Accesorios,Nova,Cliente_1766,Masculino,62,GUADALAJARA,Sucursal_4,MÉRIDA,Yucatán,2024-09-28,4,816,3264
147,Producto_82,Ropa,ComfortPlus,Cliente_759,Femenino,63,Tapachula,Sucursal_12,GUADALAJARA,Jalisco,2023-09-17,5,1247,6235
148,Producto_93,Hogar,UrbanStyle,Cliente_1411,Masculino,66,Mérida,Sucursal_4,MÉRIDA,Yucatán,2024-08-22,2,3008,6016
149,Producto_22,Hogar,Alpha,Cliente_988,Femenino,57,MÉRIDA,Sucursal_10,Monterrey,Nuevo León,2023-07-14,4,4606,18424
150,Producto_98,Muebles,ComfortPlus,Cliente_146,Femenino,21,TAPACHULA,Sucursal_3,Monterrey,Nuevo León,2024-04-21,5,2270,11350
151,Producto_62,Tecnología,HomePro,Cliente_728,Masculino,30,CANCÚN,Sucursal_4,MÉRIDA,Yucatán,2025-10-01,4,9440,37760
152,Producto_59,Electrónica,TechBrand,Cliente_1597,Femenino,43,Guadalajara,Sucursal_1,Monterrey,Nuevo León,2024-09-14,1,13552,13552
153,Producto_51,Ropa,HomePro,Cliente_1835,Masculino,35,CIUDAD DE MÉXICO,Sucursal_5,TIJUANA,Baja California,2023-07-14,1,935,935
154,Producto_27,Muebles,ComfortPlus,Cliente_1907,Masculino,66,TIJUANA,Sucursal_9,tuxtla gutiérrez,Chiapas,2025-04-04,1,1911,1911
155,Producto_12,Tecnología,TechBrand,Cliente_876,Masculino,67,Guadalajara,Sucursal_7,CIUDAD DE MÉXICO,CDMX,2023-05-14,1,8048,8048
156,Producto_90,Accesorios,ComfortPlus,Cliente_930,Femenino,47,Cancún,Sucursal_14,Puebla,Puebla,2024-12-27,4,653,2612
157,Producto_28,Tecnología,UrbanStyle,Cliente_1823,Femenino,28,Tuxtla Gutiérrez,Sucursal_1,monterrey,Nuevo León,2023-02-10,3,7214,21642
158,Producto_74,Tecnología,TechBrand,Cliente_566,Femenino,23,puebla,Sucursal_4,Mérida,Yucatán,2023-02-06,4,4656,18624
159,Producto_38,Tecnología,UrbanStyle,Cliente_915,Femenino,42,TIJUANA,Sucursal_11,Puebla,Puebla,2023-05-28,5,7855,39275
160,Producto_91,Hogar,Omega,Cliente_179,Masculino,29,león,Sucursal_5,TIJUANA,Baja California,2024-06-03,4,3030,12120
161,Producto_19,Accesorios,NextGen,Cliente_1244,Masculino,56,León,Sucursal_8,PUEBLA,Puebla,2025-01-21,3,1319,3957
162,Producto_63,Muebles,HomePro,Cliente_1067,Femenino,27,Puebla,Sucursal_8,puebla,Puebla,2024-08-31,1,6183,6183
163,Producto_44,Accesorios,Nova,Cliente_427,Femenino,28,Tapachula,Sucursal_12,Guadalajara,Jalisco,2025-08-10,3,954,2862
164,Producto_28,Tecnología,UrbanStyle,Cliente_1225,Femenino,62,Tapachula,Sucursal_10,MONTERREY,Nuevo León,2025-05-31,5,8961,44805
165,Producto_51,Ropa,HomePro,Cliente_936,Masculino,67,tuxtla gutiérrez,Sucursal_1,MONTERREY,Nuevo León,2023-06-18,3,1314,3942
166,Producto_3,Electrónica,ComfortPlus,Cliente_462,Femenino,60,LEÓN,Sucursal_7,CIUDAD DE MÉXICO,CDMX,2025-02-15,4,10965,43860
167,Producto_11,Ropa,Alpha,Cliente_1985,Femenino,67,guadalajara,Sucursal_7,Ciudad de México,CDMX,2025-04-06,4,1958,7832
168,Producto_70,Tecnología,NextGen,Cliente_795,Femenino,37,guadalajara,Sucursal_12,GUADALAJARA,Jalisco,2024-02-29,3,6880,20640
169,Producto_60,Tecnología,ComfortPlus,Cliente_11,Masculino,52,Cancún,Sucursal_8,puebla,Puebla,2023-07-11,2,13543,27086
170,Producto_77,Tecnología,Alpha,Cliente_1745,Femenino,61,PUEBLA,Sucursal_10,Monterrey,Nuevo León,2024-07-30,2,4874,9748
171,Producto_27,Muebles,ComfortPlus,Cliente_1829,Femenino,22,TUXTLA GUTIÉRREZ,Sucursal_10,MONTERREY,Nuevo León,2023-10-17,2,3040,6080
172,Producto_18,Deportes,FitLife,Cliente_823,Femenino,46,tuxtla gutiérrez,Sucursal_13,León,Guanajuato,2023-07-15,5,2590,12950
173,Producto_41,Accesorios,TechBrand,Cliente_142,Masculino,33,Monterrey,Sucursal_12,guadalajara,Jalisco,2023-09-08,5,551,2755
174,Producto_19,Accesorios,NextGen,Cliente_348,Masculino,46,Mérida,Sucursal_5,TIJUANA,Baja California,2024-05-03,1,-100,834
175,Producto_82,Ropa,ComfortPlus,Cliente_1521,Masculino,41,Tuxtla Gutiérrez,Sucursal_10,Monterrey,Nuevo León,2025-06-08,5,371,1855
176,Producto_29,Hogar,NextGen,Cliente_1243,Masculino,23,Mérida,Sucursal_7,ciudad de méxico,CDMX,2024-01-12,1,4720,4720
177,Producto_79,Tecnología,FitLife,Cliente_1622,Femenino,46,monterrey,Sucursal_6,LEÓN,Guanajuato,2023-10-22,1,12107,12107
178,Producto_94,Muebles,NextGen,Cliente_1001,Masculino,28,TIJUANA,Sucursal_14,puebla,Puebla,2024-04-16,2,1437,2874
179,Producto_24,Deportes,HomePro,Cliente_692,Masculino,23,PUEBLA,Sucursal_7,ciudad de méxico,CDMX,2023-09-06,5,2616,13080
180,Producto_88,Tecnología,FitLife,Cliente_1837,Femenino,28,puebla,Sucursal_9,TUXTLA GUTIÉRREZ,Chiapas,2025-04-26,4,7011,28044
181,Producto_5,Deportes,FitLife,Cliente_1893,Masculino,49,Mérida,Sucursal_15,Mérida,Yucatán,2024-04-25,3,2582,7746
182,Producto_89,Muebles,NextGen,Cliente_1234,Masculino,42,Tijuana,Sucursal_7,CIUDAD DE MÉXICO,CDMX,2025-04-30,5,6355,31775
183,Producto_32,Hogar,Alpha,Cliente_179,Masculino,29,León,Sucursal_11,PUEBLA,Puebla,2025-11-20,1,1595,1595
184,Producto_15,Deportes,FitLife,Cliente_583,Femenino,21,puebla,Sucursal_4,mérida,Yucatán,2024-08-10,4,2292,9168
